65  developer  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
66  dilemma  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
67  dot-com  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
68  downmod  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
69  downvote  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
70  draws  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
71  drive  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
72  early  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
73  echoed  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
74  effect  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
75  engine  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
76  episodes  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
77  ever  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
78  exercise  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
79  explicit  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
80  face  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
81  fame  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
82  faster  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [2, '0.008375209']  poll: [0, '0.002061856']  
83  favorite  story: [0, '0.002070393']  ask_hn: [2, '0.009242144']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
84  favourite  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
85  featured  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
86  feld  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
87  filter  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
88  find  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
89  flash  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
90  format  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
91  frame  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
92  framework  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
93  future  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
94  gender  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
95  giving  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
96  glee  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
97  gleebox  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
98  glsl  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
99  going  story: [1, '0.006211180']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
100  golf  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
101  google  story: [2, '0.010351967']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
102  guide  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
103  guys  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
104  hacker  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
105  hacking  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
106  haiku  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
107  handling  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
108  happen  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
109  hardest  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
110  helped  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
111  hn  story: [0, '0.002070393']  ask_hn: [25, '0.094269871']  show_hn: [26, '0.088777219']  poll: [0, '0.002061856']  
112  homepage  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
113  hooked  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
114  html  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
115  im  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
116  implement  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
117  inkling  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
118  insane  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
119  inspired  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
120  interview  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
