70  deal  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
71  demo  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
72  desktop  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
73  details  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
74  developer  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
75  development  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
76  dilemma  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
77  documentation  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
78  dot-com  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
79  downmod  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
80  downvote  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
81  draws  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
82  drive  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
83  early  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
84  echoed  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
85  effect  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
86  encouraging  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
87  engine  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
88  episodes  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
89  ever  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
90  exercise  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
91  explicit  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
92  extraordinary  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
93  face  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
94  fame  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
95  faster  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [2, '0.007849294']  poll: [0, '0.001912046']  
96  favorite  story: [0, '0.001855288']  ask_hn: [2, '0.008488964']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
97  favourite  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
98  featured  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
99  feld  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
100  filter  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
101  find  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
102  flash  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
103  format  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
104  frame  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
105  framework  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
106  future  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
107  gender  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
108  giving  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
109  glee  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
110  gleebox  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
111  glsl  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
112  going  story: [1, '0.005565863']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
113  golf  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
114  google  story: [2, '0.009276438']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
115  guide  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
116  guys  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
117  hacker  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
118  hacking  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
119  haiku  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
120  handling  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
121  happen  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
122  hardest  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
123  helped  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
124  hn  story: [0, '0.001855288']  ask_hn: [25, '0.086587436']  show_hn: [26, '0.083202512']  poll: [0, '0.001912046']  
125  homepage  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
126  hooked  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
127  html  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
128  illuminate  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
129  im  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
130  implement  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
131  inequality  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
132  inkling  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
133  insane  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
134  inspired  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
135  intelligence  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
136  interested  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
137  interview  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
138  ipo  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
139  ipod  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
140  irr  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
141  jetsetter  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
142  job  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
143  journalists  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
144  jstartup  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
145  karma  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
146  keyboard  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
147  kind  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
